index,context,target,output,neg1,neg2,neg3
953,i love to dance.,i enjoy reading history books.,When I relax I like to read.,I've always thought I would be an excellent dancer.  I'm moving back to the states.,I like to dance often.,We have a dance room about a mile away.
954,i play football.,i like to play video games.,"I need to actually play to improve my physical conditioning, but I hone my strategy by playing football in video games, which I love to play.",i drive my football to games from work,I used to drive for a bakery.,I like to drive around my field when I am not driving to eat.
955,i play football.,i like to play video games.,I don't get much exercise with my hobbies.,I like going to Christmas parties but I don't like spending money on booze. I prefer spending time with my family.,I like to watch Christmas presents and eat turkey.,I think you should stop football because something is wrong with Christmas.
956,i keep many kittens.,the color of my locks in not natural.,My kittens fur is the same color as my dyed hair.,He gets lonely and lonely. I adopt them all.,Do you have a man child?,I have many different males to give to my boys.
957,i keep many kittens.,the color of my locks in not natural.,I dyed my hair to match my kitten's hair.,I have a car.,The kittens I keep are home.,"I work with a lot of needy babies, so i take many trips to the adoption center."
958,i keep many kittens.,the color of my locks in not natural.,"I like variations in the colors of some litters, like when some are tri-color or have many different and interesting patterns.",I have two cats but you can't get them anywhere.,I have many kittens.  I walk through nature quite often.,I do enjoy going out in the country to see animals.
959,i am an orphan.,"i enjoy eating at my local pub , they have a great menu !.",Despite being an orphan I have become successful and I'm able to eat out a lot.,You have to get your hair cut by a male relative in order to get a haircut.,I had to cut it for a living.,I am afraid of children
960,i am an orphan.,"i enjoy eating at my local pub , they have a great menu !.","I grew up in foster care, but didn't eat well growing up. Now I'm a foodie - I love pub food.",When I was a kid my parents took me to stay at the family farm.,I drink at the orphanage in my neighborhood,I also like to drink with my siblings and my mother.
961,i am an orphan.,"i enjoy eating at my local pub , they have a great menu !.","I had no idea, I'm sorry. I'd love to hear more about it over lunch, do you have any reccomendations?","I am an orphan too. Unfortunately, I am an orphan too.",I like to help my parents with computers,I work with computers.
962,in the future i want to drive a large vehicle.,i take care of people.,I do not make a lot of money but my job is fulfilling.,"I live in a big city, but I love to drive my big vehicle.","Is that possible, are you able to drive a car, but your income is low?",But in the future I also want to be the smartest person on the planet.
965,i am a parent to 3 kids.,my car is not anything too fancy.,"So I'm driving them around all the time. My car is always a mess, but luckily",I can only afford to pay for two of my children college because of the school loans I'm currently in.,I have 3 kids.,"I also am an only child, so I have to stay in my room a lot."
966,i am a parent to 3 kids.,my car is not anything too fancy.,Yeah with three kids most would point out the financial hurdle it can be for some.,I like to make lasagna for my kids sometimes.,I like cooking at home with kids.,My father always taught me how to cook.
967,i am a parent to 3 kids.,my car is not anything too fancy.,I know what it's like to have kids.  My car looks like a mess now.,I am currently working and need to eat.,Food preparation is part of being a good parent.,I am single right now.
